name,url,status,got_type,node_type
Waldron Frey,Waldron_Frey,Uncertain,,Person
Malcolm,Malcolm,Deceased,,Person
House Whent,House_Whent,,,House
Joyeuse Frey,Joyeuse_Frey,Deceased,,Person
House Tarbeck,House_Tarbeck,,,House
House Casterly,House_Casterly,,,House
House Greenfield,House_Greenfield,,,House
House Lorch,House_Lorch,,,House
House Hetherspoon,House_Hetherspoon,,,House
House Yarwyck,House_Yarwyck,,,House
House Tollett,House_Tollett,,,House
House Lynderly,House_Lynderly,,,House
House Egen,House_Egen,,,House
House Strong,House_Strong,,,House
House Hunter,House_Hunter,,,House
House Moore,House_Moore,,,House
House Qoherys,House_Qoherys,,,House
House Mudd,House_Mudd,,,House
House Lothston,House_Lothston,,,House
House Justman,House_Justman,,,House
House Harroway,House_Harroway,,,House
House Darry,House_Darry,,,House
House Wode,House_Wode,,,House
House Haigh,House_Haigh,,,House
Son of Edmure and Roslin Tully,Tully_(son_of_Edmure),Alive,,Person
Kitty Frey,Kitty_Frey,Alive,,Person
Frey soldier,Frey_soldier_1,Deceased,,Person
Lannister messenger,Lannister_messenger,Alive,,Person
Lannister scout,Lannister_scout,Alive,,Person
Lannister spearman,Lannister_spearman,Deceased,,Person
Lannister soldier,Lannister_soldier_3_(Dragonstone),Alive,,Person
Lannister soldier,Lannister_soldier_1_(Dragonstone),Alive,,Person
Lannister soldier,Lannister_soldier_(No_One),Alive,,Person
Lannister captain,Lannister_captain_(Home),Alive,,Person
Melara Hethersoon,Melara_Hetherspoon,Uncertain,,Person
Tion Tarbeck,Tion_Tarbeck,Deceased,,Person
Ellyn Reyne,Ellyn_Reyne,Deceased,,Person
Siege of Tarbeck Hall,Siege_of_Tarbeck_Hall,,,Event
Walderan Tarbeck,Walderan_Tarbeck,Deceased,,Person
Tarbeck Hall,Tarbeck_Hall,Destroyed by Ser  Tywin Lannister,Castle,Location
Knight of House Frey,Knight_of_House_Frey,Deceased,,Person
Lannister guard,Lannister_guard_2,Alive,,Person
Lannister soldier,Lannister_soldier_2_(The_Dragon_and_the_Wolf),Alive,,Person
Musician,Musician_3_(The_Lion_and_the_Rose),Alive,,Person
Musician,Musician_2_(The_Lion_and_the_Rose),Alive,,Person
Battle of the Camps,Battle_of_the_Camps,,,Event
Alys Harroway,Alys_Harroway,Deceased,,Person
Musician,Musician_1_(The_Lion_and_the_Rose),Alive,,Person
Qhored Hoare,Qhored_Hoare,Deceased,,Person
The Grey King,Grey_King,Deceased,,Person
Raymun Darry,Raymun_Darry,Deceased,,Person
Danelle Lothston,Danelle_Lothston,Deceased,,Person
Tion Lannister,Tion_Lannister,Deceased,,Person
Tywald Lannister,Tywald_Lannister,Deceased,,Person
Reynard Reyne,Reynard_Reyne,Deceased,,Person
Roger Reyne,Roger_Reyne,Deceased,,Person
Jeyne Lannister,Jeyne_Lannister,Deceased,,Person
Gerold Lannister,Gerold_Lannister,Deceased,,Person
Kingdom of the Mountain and the Vale,Kingdom_of_the_Mountain_and_the_Vale,,Feudal hereditary absolute monarchy,Location
Bernarr II Justman,Bernarr_II_Justman,Deceased,,Person
Mummer's Ford,Mummer%27s_Ford,,Town,Location
Nagga,Nagga,Deceased,,Animal
House Blacktyde,House_Blacktyde,,,House
House Greyiron,House_Greyiron,,,House
Surrender of Moat Cailin,Surrender_of_Moat_Cailin,,,Event
Liberation of Harrenhal,Liberation_of_Harrenhal,,,Event
Sack of Ashemark,Sack_of_Ashemark,,,Event
Liberation of Stone Hedge,Liberation_of_Stone_Hedge,,,Event
Liberation of Raventree Hall,Liberation_of_Raventree_Hall,,,Event
Raid on Torrhen's Square,Raid_on_Torrhen%27s_Square,,,Event
Maekar I Targaryen,Maekar_Targaryen,Deceased,,Person
Daemon II Blackfyre,Daemon_II_Blackfyre,Deceased,,Person
The Rat Cook,Rat_Cook,Deceased,,Person
The Night's Queen,Night%27s_Queen,Deceased,,Person
Hugor of the Hill,Hugor_of_the_Hill,Deceased,,Person
Winged Knight,Winged_Knight,Deceased,,Person
Herndon,Herndon_of_the_Horn,Deceased,,Person
House Kenning,House_Kenning,,,House
House Humble,House_Humble,,,House
House Sparr,House_Sparr,,,House
House Merlyn,House_Merlyn,,,House
House Harlaw,House_Harlaw,,,House
House Goodbrother,House_Goodbrother,,,House
House Drumm,House_Drumm,,,House
Jaremy Mallister,Jaremy_Mallister,Deceased,,Person
Macumber,Macumber,,,Animal
Krakens,Krakens,,Cephalopods- sea creature- legendary,Animal
Bastard's girls,Bastard%27s_girls,Uncertain,,Animal
Adrack Humble,Adrack_Humble,Deceased,,Person
Zorses,Zorses,Active,Mammal,Animal
Dwarf elephants,Dwarf_elephants,Active,Mammal,Animal
Old men of the river,Old_men_of_the_river,Active,Reptile,Animal
Lizard-lions,Lizard-lions,Active,Reptile,Animal
Dornish sand steed,Dornish_sand_steed,Domesticated,Mammal,Animal
Whitewalls,Whitewalls,,Castle,Location
Qhorwyn Hoare,Qhorwyn_Hoare,Deceased,,Person
Artys I Arryn,Artys_I_Arryn,Deceased,,Person
Baelor I Targaryen,Baelor_Targaryen,Deceased,,Person
Hammerhorn,Hammerhorn,,Castle,Location
Giant's Lance,Giant%27s_Lance,,Mountain,Location
Daeron Targaryen,Daeron_Targaryen_(son_of_Aegon_V),Deceased,,Person
Shiera Seastar,Shiera_Seastar,Deceased,,Person
Naerys Targaryen,Naerys_Targaryen,Deceased,,Person
Rhaego,Rhaego,Deceased,,Person
Jhiqui,Jhiqui,Uncertain,,Person
Elaena Targaryen,Elaena_Targaryen,Deceased,,Person
Loboda,Loboda,Deceased,,Person
Karsi,Karsi,Deceased  (reanimated as a wight ),,Person
Rhaena Targaryen,Rhaena_Targaryen_(daughter_of_Aegon_III),Deceased,,Person
Valyrians,Valyrians,Scattered,,PersonType
Malleon,Malleon,Deceased,,Person
Samyrian,Samyrian,,,Location
Denner,Denner,Uncertain,,Person
Jeffory Mallister,Jeffory_Mallister,,,Person
Jason Mallister,Jason_Mallister,Alive,,Person
Maelor Targaryen,Maelor_Targaryen,Deceased,,Person
Jaehaerys Targaryen,Jaehaerys_Targaryen_(son_of_Aegon_II),Deceased,,Person
Ice-river clans,Ice-river_clans,Active,,PersonType
Wun Weg Wun Dar Wun,Wun_Weg_Wun_Dar_Wun,Deceased,,Person
Willa,Willa,Alive,,Person
Johnna,Johnna,Alive,,Person
White Walker,White_Walker_(Hardhome),Deceased,,Person
Styr,Styr,Deceased,,Person
Hornfoot,Hornfoot,Active,,PersonType
Cave people,Cave_people,Active,,PersonType
The Red Keep,The_Red_Keep,,,HistoriesNLore
Miller's wife,Unnamed_miller%27s_wife,Deceased,,Person
Ghiscari,Ghiscari,Active,,PersonType
Battle of Seagard,Battle_of_Seagard,,,Event
Mantarys,Mantarys,,Mercantile city-state,Location
Captain's daughter,Captain%27s_daughter,Alive,,Person
House Penrose,House_Penrose,,,House
Qotho,Qotho,Deceased,,Person
Assassination at the Red Keep,Assassination_at_the_Red_Keep,,,Event
Jon Umber,Smalljon_Umber,Deceased,,Person
Dongo,Dongo,Deceased,,Person
Thenn valley,Thenn_(region),,Geographic area,Location
White Tree,White_Tree,,Village,Location
Ambush at Dragonstone,Ambush_at_Dragonstone,,,Event
Orell,Orell,Deceased,,Person
Cave of the Three-Eyed Raven,Cave_of_the_Three-Eyed_Raven,,Cave,Location
Battle of Fair Isle,Battle_of_Fair_Isle,,,Event
Raid on Sea Dragon Point,Raid_on_Sea_Dragon_Point,,,Event
House of Loraq,House_of_Loraq,,,House
Thenn warg,Thenn_warg,Deceased,,Person
Assault on Harrenhal,Assault_on_Harrenhal,,,Event
Dance Over Storm's End,Dance_Over_Storm%27s_End,,,Event
Malko,Malko,Alive,,Person
Mago,Mago,Deceased,,Person
Haggo,Haggo,Deceased,,Person
Cohollo,Cohollo,Uncertain,,Person
Borros Baratheon,Borros_Baratheon,Deceased,,Person
Oros,Oros,,City,Location
Tyria,Tyria,,City- ruins,Location
Bhorash,Bhorash,Ruined,City,Location
Ice,Ice,Melted down and reforged into Oathkeeper and Widow's Wail,,Weapon
Valyrian sword smith,Valyrian_sword_smith,Alive,,Person
Tommy,Tommy,Uncertain,,Person
Siege of Rook's Rest,Siege_of_Rook%27s_Rest,,,Event
Queenscrown,Queenscrown,Abandoned,Holdfast,Location
Fall of King's Landing,Fall_of_King%27s_Landing,,,Event
Assassination of Aegon II,Assassination_of_Aegon_II,,,Event
Battle Above the Gods Eye,Battle_Above_the_Gods_Eye,,,Event
Sylvi,Sylvi,Alive,,Person
Cedric Umber,Cedric_Umber,,,Person
Maynard Umber,Maynard_Umber,Deceased,,Person
Morgana Umber,Morgana_Umber,Deceased,,Person
Emilia Umber,Emilia_Umber,Deceased,,Person
Finn Umber,Finn_Umber,Deceased,,Person
Raid on Craster's Keep,Raid_on_Craster%27s_Keep,,,Event
Windblown,Windblown,Active,Sellsword company,Organization
House Degore,House_Degore,,,House
Kear Umber,Kear_Umber,Deceased,,Person
Brandon Umber,Brandon_Umber,Deceased,,Person
Leaf,Leaf,Deceased,,Person
Three-Eyed Raven,Three-Eyed_Raven,Deceased,,Person
Jhaqo,Jhaqo,Uncertain after Daenarys Targaryen burned all the great khals known,,Person
Battle of the Gullet,Battle_of_the_Gullet,,,Event
Otto Hightower,Otto_Hightower,Deceased,,Person
Ormund Baratheon,Ormund_Baratheon,Deceased,,Person
Lyonel Baratheon,Lyonel_Baratheon,Deceased,,Person
Tobho Mott,Tobho_Mott,Alive,,Person
Axel Baratheon,Axel_Baratheon,Deceased,,Person
Katrina Umber,Katrina_Umber,Deceased,,Person
Hollys Umber,Hollys_Umber,Deceased,,Person
Sack of Tumbleton,Sack_of_Tumbleton,,,Event
Assassination of Dalton Greyjoy,Assassination_of_Dalton_Greyjoy,,,Event
Butcher's Ball,Butcher%27s_Ball,,,Event
Retaking of Harrenhal,Retaking_of_Harrenhal,,,Event
Old Man,Old_man,Deceased,,Person
Mychal Baratheon,Mychal_Baratheon,Deceased,,Person
Kingdom of the Three Daughters,Kingdom_of_the_Three_Daughters,,Alliance of Tyrosh - Myr - and Lys,Location
Moro,Moro,Deceased,,Person
Pono,Pono,Uncertain after Daenerys Targaryen burned all of the known great Khals,,Person
Gullet,Gullet,,Stretch of water,Location
Jenny of Oldstones,Jenny_of_Oldstones,Deceased,,Person
Lyman Beesbury,Lyman_Beesbury,Deceased,,Person
The Hightower,The_Hightower,,Lighthouse,Location
Battle at the Cave of the Three-Eyed Raven,Battle_at_the_Cave_of_the_Three-Eyed_Raven,,,Event
Siege of Astapor,Siege_of_Astapor,,,Event
Breaching of the Wall,Breaching_of_the_Wall,,,Event
Sissy,Sissy,Alive,,Person
Monica Baratheon,Monica_Baratheon,Deceased,,Person
Argella Baratheon,Argella_Baratheon,Deceased,,Person
Showdown at the Tower of Joy,Showdown_at_the_Tower_of_Joy,,,Event
Petra Tallhart,Petra_Tallhart,Deceased,,Person
Tyrek Tallhart,Tyrek_Tallhart,Deceased,,Person
Red Priestess,Red_Priestess_(High_Sparrow),Alive,,Person
Medger Cerwyn,Medger_Cerwyn,Deceased,,Person
Cleos Umber,Cleos_Umber,Deceased,,Person
Vivian Cerwyn,Vivian_Cerwyn,Deceased,,Person
Johanna Lannister,Johanna_Lannister,Deceased,,Person
Munkun,Munkun,Deceased,,Person
Sack of the Iron Islands,Sack_of_the_Iron_Islands,,,Event
Jasper Wylde,Jasper_Wylde,Deceased,,Person
Orwyle,Orwyle,Deceased,,Person
High Priestess of the Dosh Khaleen,High_Priestess_of_the_Dosh_Khaleen,Alive,,Person
Moro's bloodrider,Moro%27s_bloodrider_2,Deceased,,Person
Assault on Dragonstone,Assault_on_Dragonstone,,,Event
Aggo,Aggo_(The_Red_Woman),Deceased,,Person
The Pact,The_Pact,,,Event
House Cassel,House_Cassel,,,House
Ruling Council of Astapor,Astapori_ruling_council,Defunct,Government,Organization
Cleon,Cleon,Uncertain,,Person
Craster's wife,Craster%27s_wife_3_(Oathkeeper),Alive,,Person
Craster's wife,Craster%27s_wife_2_(Oathkeeper),Alive,,Person
High Priest of R'hllor,High_Priest_of_R%27hllor,Alive,,Person
Long Bridge of Volantis,Long_Bridge,,,Location
Battle of Ashford,Battle_of_Ashford,,,Event
Battle of Summerhall,Battle_of_Summerhall,,,Event
Wylla,Wylla,Deceased,,Person
Jason Lannister,Jason_Lannister,Deceased,,Person
Eustace,Eustace,Deceased,,Person
Rain House,Rain_House,,Castle,Location
House Wylde,House_Wylde,,,House
Temple of the Dosh khaleen,Temple_of_the_Dosh_khaleen,Destroyed,Religious and governmental center,Location
Dothraki crone,Dothraki_crone,Alive,,Person
Ornela,Ornela,Alive,,Person
Savo,Savo,Deceased,,Person
House Swann,House_Swann,,,House
Byron Swann,Byron_Swann,Deceased,,Person
House Grandison,House_Grandison,,,House
House Grayson,House_Grayson,,,House
House Elliver,House_Elliver,,,House
House Poole,House_Poole,,,House
House Warrick,House_Warrick,,,House
House Brownbarrow,House_Brownbarrow,,,House
House Mollen,House_Mollen,,,House
House Mazin,House_Mazin,,,House
House Marsh,House_Marsh,,,House
House Holt,House_Holt,,,House
House Flint,House_Flint,,,House
House Dormund,House_Dormund,,,House
Skirmish at Littlefinger's brothel,Skirmish_at_Littlefinger%27s_brothel,,,Event
Beric Dayne,Beric_Dayne,Deceased,,Person
Son of Nymeria and Davos Dayne,Dayne_(son_of_Davos),Deceased,,Person
Davos Dayne,Davos_Dayne,Deceased,,Person
Vorian Dayne,Vorian_Dayne,Deceased,,Person
House Toyne,House_Toyne,,,House
House Connington,House_Connington,,,House
House Seaworth,House_Seaworth,,,House
Mother of Mountains,Mother_of_Mountains,,Mountain,Location
House Selmy,House_Selmy,,,House
House Dondarrion,House_Dondarrion,,,House
House Caron,House_Caron,,,House
House Trant,House_Trant,,,House
House Tarth,House_Tarth,,,House
House Peasebury,House_Peasebury,,,House
House Musgood,House_Musgood,,,House
House Morrigen,House_Morrigen,,,House
House Lonmouth,House_Lonmouth,,,House
Marlin Dormund,Marlin_Dormund,Alive,,Person
Rodrik Flint,Rodrik_Flint,Deceased,,Person
Lord Mazin,Mazin_(Lord),Alive,,Person
Errold Holt,Errold_Holt,Alive,,Person
Hallis Mollen,Hallis_Mollen,Deceased,,Person
House Cole,House_Cole,,,House
Estermont,Estermont,,Island,Location
Blackhaven,Blackhaven,,Castle,Location
Mistwood,Mistwood,,Castle,Location
House Errol,House_Errol,,,House
Crow's Nest,Crow%27s_Nest,,Castle,Location
Stonehelm,Stonehelm,,Castle,Location
Griffin's Roost,Griffin%27s_Roost,,Castle,Location
Evenfall Hall,Evenfall_Hall,,Castle,Location
Felwood,Felwood,,Castle,Location
Bronzegate,Bronzegate,,Castle,Location
Marya Seaworth,Marya_Seaworth,Alive,,Person
The Footprint,The_Footprint,,Region,Location
Dawn,Dawn,,,Weapon
Richard Lonmouth,Richard_Lonmouth,,,Person
Trial by Seven of ,Trial_by_Seven_of_Maegor_Targaryen,,,Event
Damon Morrigen,Damon_Morrigen,Deceased,,Person
Selwyn Tarth,Selwyn_Tarth,Alive,,Person
Corlys Wells,Corlys_Wells,Alive,,Person
Lady Caulfield,Caulfield_(Lady),Alive,,Person
Aggo,Aggo_(The_North_Remembers),Uncertain,,Person
Iggo,Iggo,Deceased,,Person
Craster's younger wife,Craster%27s_younger_wife_(Walk_of_Punishment),Alive,,Person
Ghost Hill,Ghost_Hill,,Castle,Location
Lemonwood,Lemonwood,,Castle,Location
Saltshore,Saltshore,,Castle,Location
Godsgrace,Godsgrace,,Castle,Location
The Tor,The_Tor,,Castle,Location
Sandstone,Sandstone,,Castle,Location
Skyreach,Skyreach,,Castle,Location
Kingsgrave,Kingsgrave,,Castle,Location
Vulture's Roost,Vulture%27s_Roost,,Castle,Location
Faith Militant raid on the Red Keep,Faith_Militant_raid_on_the_Red_Keep,,,Event
The Knight of the Laughing Tree,Knight_of_the_Laughing_Tree,Uncertain,,Person
 Blackmont ,Blackmont,,Castle,Location
Craster's wife,Craster%27s_wife_(Walk_of_Punishment),Alive,,Person
Craster's last son,Craster%27s_last_son,Alive,,Person
Morag,Morag,Uncertain,,Person
House Wells,House_Wells,,,House
Uprising in Meereen,Uprising_in_Meereen,,,Event
Sunflower Hall,Sunflower_Hall,,Castle,Location
Three Towers,Three_Towers,,Castle,Location
Blackcrown,Blackcrown,,Castle,Location
Uplands,Uplands,,Castle,Location
Bandallon,Bandallon,,Castle,Location
Brightwater Keep,Brightwater_Keep,,Castle,Location
White Walker,White_Walker_(The_Door),Deceased,,Person
Grassy Vale,Grassy_Vale,,Castle,Location
Bitterbridge,Bitterbridge,,Castle,Location
Goldengrove,Goldengrove,,Castle,Location
Red Lake,Red_Lake,,Castle,Location
Battle Isle,Battle_Isle,,Island,Location
Humfrey Beesbury,Humfrey_Beesbury,Deceased,,Person
House Blackmont,House_Blackmont,,,House
House Manwoody,House_Manwoody,,,House
House Qorgyle,House_Qorgyle,,,House
House Jordayne,House_Jordayne,,,House
House Allyrion,House_Allyrion,,,House
House Dalt,House_Dalt,,,House
Archmaester,Archmaester_(Eastwatch),Alive,,Person
Moro's bloodrider,Moro%27s_bloodrider_1,Deceased,,Person
Oldstones,Oldstones,Ruined,Ruined castle,Location
Honeyholt,Honeyholt,,Castle,Location
Long Table,Long_Table,,Castle,Location
The Harpy,The_Harpy,Uncertain,,Person
Moro's wife,Moro%27s_wife_2,Alive,,Person
Moro's wife,Moro%27s_wife_1,Alive,,Person
Massacre of the ,Massacre_of_the_Khalar_vezhven,,,Event
Moro,Moro_(son_of_Mengo),Deceased,,Person
Raymont Baratheon,Raymont_Baratheon,Deceased,,Person
Ethelide Baratheon,Ethelide_Baratheon,Deceased,,Person
Theresa Baratheon,Theresa_Baratheon,Deceased,,Person
Ulf the White,Ulf_the_White,Deceased,,Person
Hugh Hammer,Hugh_Hammer,Deceased,,Person
Sack of Lannisport,Sack_of_Lannisport,,,Event
The Red,The_red,Deceased,,Animal
Corin Umber,Corin_Umber,Deceased,,Person
Joseth Umber,Joseth_Umber,Deceased,,Person
Gareth Umber,Gareth_Umber,Deceased,,Person
Deziel Dalt,Deziel_Dalt,Alive,,Person
House Santagar,House_Santagar,,,House
House Gargalen,House_Gargalen,,,House
Benedict Blackmont,Benedict_Blackmont,Deceased,,Person
Lord Blackmont,Blackmont_(Lord),Alive,,Person
The Free Cities,The_Free_Cities,,,HistoriesNLore
Brozho,Brozho,Deceased,,Person
Rhalko,Rhalko,Deceased,,Person
Lucan Umber,Lucan_Umber,Deceased,,Person
Mycah Umber,Mycah_Umber,Deceased,,Person
Craster,Craster,Deceased,,Person
Mazor Alexi,Mazor_Alexi,Deceased,,Person
Sarnori,Sarnori,Active,,PersonType
Sathar,Sathar,,Ruin,Location
Forzho,Forzho,Deceased,,Person
Qorro,Qorro,Deceased,,Person
Lannister Fleet,Lannister_fleet,Defunct,,Organization
Serwyn Errol,Serwyn_Errol,Deceased,,Person
Nettles,Nettles,Deceased,,Person
Mengo,Mengo,Deceased,,Person
Morag Umber,Morag_Umber,Deceased,,Person
Harkon Umber,Harkon_Umber,Deceased,,Person
Daragh Umber,Daragh_Umber,Deceased,,Person
Amarylis Umber,Amarylis_Umber,Deceased,,Person
Hothor Umber,Hothor_Umber,Deceased,,Person
Ned Umber,Ned_Umber,Alive,,Person
The Night's Watch,The_Night%27s_Watch,,,HistoriesNLore
White Walker,White_Walker_(Oathkeeper),Alive,,Person
White Walker,White_Walker_(Valar_Morghulis),Deceased,,Person
White Walker,White_Walker_(The_Night_Lands),Alive,,Person
Haro,Haro,Deceased,,Person
Field of Crows,Field_of_Crows,,,Event
Mycah,Mycah,Deceased,,Person
White Walker,White_Walker_(Winter_Is_Coming),Alive,,Person
First Trial by Combat of Tyrion Lannister,First_Trial_by_Combat_of_Tyrion_Lannister,,,Event
Siege of Old Wyk,Siege_of_Old_Wyk,,,Event
Gendel,Gendel,Deceased,,Person
Oznak zo Pahl,Oznak_zo_Pahl,Deceased,,Person
Prendahl na Ghezn,Prendahl_na_Ghezn,Deceased,,Person
Siege of Great Wyk,Siege_of_Great_Wyk,,,Event
Raid on Lannisport,Raid_on_Lannisport,,,Event
Greizhen mo Ullhor,Greizhen_mo_Ullhor,Deceased,,Person
Jacaerys Velaryon,Jacaerys_Velaryon,Deceased,,Person
Blacks,Blacks,Inactive,Political faction,Organization
Laenor Velaryon,Laenor_Velaryon,Deceased,,Person
Joffrey Velaryon,Joffrey_Velaryon,Deceased,,Person
Zhako,Zhako,Deceased,,Person
Loso,Loso,Deceased,,Person
Qano,Qano,Deceased,,Person
Corlys Velaryon,Corlys_Velaryon,Deceased,,Person
"""Blood""",Blood_(Former_Gold_Cloak),Deceased,,Person
Lucerys Velaryon,Lucerys_Velaryon,Deceased,,Person
"""Cheese""",Cheese,Deceased,,Person
Bayasabhad,Bayasabhad,,City-state,Location
Hyrkoon,Hyrkoon,,Region,Location
Greens,Greens,Inactive,Political faction,Organization
Wildling girl,Wildling_girl,Deceased  (reanimated as a wight ),,Person
Gorne,Gorne,Deceased,,Person
Yunkai'i whore,Yunkai%27i_whore,Alive,,Person
Mero,Mero,Deceased,,Person
The Red Waste,Red_Waste,,,Location
Viola Redwyne,Viola_Redwyne,Uncertain,,Person
The Maidenvault,Maidenvault,,Prison,Location
Valyrian Peninsula,Valyrian_Peninsula,,Peninsula,Location
Harlan Hoare,Harlan_Hoare,Deceased,,Person
Qyle Corbray,Qyle_Corbray,Deceased,,Person
Lady Forlorn,Lady_Forlorn,With the head of House Corbray,,Weapon
Robar II Royce,Robar_II_Royce,Deceased,,Person
Jaehaera Targaryen,Jaehaera_Targaryen,Deceased,,Person
Viserys II Targaryen,Viserys_II_Targaryen,Deceased,,Person
Lomas Longstrider,Lomas_Longstrider,Deceased,,Person
Aemond Targaryen,Aemond_Targaryen,Deceased,,Person
Aegon III Targaryen,Aegon_III_Targaryen,Deceased,,Person
Mirri Maz Duur,Mirri_Maz_Duur,Deceased,,Person
Maelys Blackfyre,Maelys_Blackfyre,Deceased,,Person
Daemon I Blackfyre,Daemon_I_Blackfyre,Deceased,,Person
Battle of the Redgrass Field,Battle_of_the_Redgrass_Field,,,Event
Samwell Stone,Samwell_Stone,Alive,,Person
Kyle Royce,Kyle_Royce,,,Person
